"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/taxa/refs_doc.html"
"Data URL","http://paleobiodb.org/data1.2/taxa/refs.csv?datainfo&rowcount&base_name=brachiopoda&select=taxonomy"
"Access Time","Tue 2017-11-07 07:33:38 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","brachiopoda"
"","ref_type","taxonomy"
"","taxon_status","all"
"Elapsed Time","1.46"
"Records Found","1982"
"Records Returned","1982"
"Records:"
"reference_no","record_type","ref_type","author1init","author1last","author2init","author2last","otherauthors","pubyr","reftitle","pubtitle","editors","pubvol","pubno","firstpage","lastpage","publication_type","language","doi"
"27460","ref","auth,class","N. W.","Archbold","","","","1981","Svalbardia (Chonetidina, Brachiopoda) from the Kungurian (Permian) of Western Australia","Alcheringa","","5","","1","8","journal article","English",""
"27477","ref","auth,class","N. W.","Archbold","","","","1985","Studies on Western Australian Permian brachiopods 5. The family Dictyoclostidae Stehli 1954","Proceedings of the Royal Society of Victoria","","97","1","19","30","journal article","English",""
"27547","ref","auth,class","N. W.","Archbold","","","","1981","A new species of Tornquistia (Brachiopoda: Chonetidina) from the Artinskian (Permian) of Western Australia","Memoirs of the National Museum, Victoria","","42","","7","14","journal article","English",""
"27548","ref","auth","N. W.","Archbold","","","","1981","Lingula (Lingulidae, Brachiopoda) from the late Artinskian (Permian), Carnarvon Basin, Western Australia","Proceedings of the Royal Society of Victoria","","93","","169","180","journal article","English",""
"27550","ref","auth,class","N. W.","Archbold","","","","1984","Studies on Western Australian Permian brachiopods 4. Productellidae Schuchert & LeVene 1929 and Overtoniidae Muir-Wood & Cooper 1960","Proceedings of the Royal Society of Victoria","","96","2","83","92","journal article","English",""
"27552","ref","auth,class","N. W.","Archbold","","","","1990","Studies on Western Australian Permian brachiopods 9. The Sterlitamakian brachiopod fauna of the Cuncudgerie Sandstone, Canning Basin","Proceedings of the Royal Society of Victoria","","102","1","1","13","journal article","English",""
"27670","ref","auth","N. W.","Archbold","","","","1991","Late Paleozoic brachiopod faunas from Irian Jaya, Indonesia","Brachiopods Through Time: Proceedings of the 2nd International Brachiopod Congress","D. I. MacKinnon, D. E. Lee, J. D. Campbell","","","347","353","book chapter","English",""
"27869","ref","auth,class","N. W.","Archbold","","","","1995","Ufimian (early Late Permian) brachiopods from the Perth Basin, Western Australia","Memoirs of the Association of Australasian Palaeontologists","","18","","153","163","journal article","English",""
"27929","ref","auth,class","N. W.","Archbold","","","","1993","Studies on Western Australia Permian brachiopods 11. New genera, species and records","Proceedings of the Royal Society of Victoria","","105","1","1","29","journal article","English",""
"28321","ref","auth,class","N. W.","Archbold","","","","1995","Studies on Western Australian Permian brachiopods 12. Additions to the late Asselian-Tastubian faunas","Proceedings of the Royal Society of Victoria","","107","2","95","112","journal article","English",""
"30150","ref","auth,class","N. W.","Archbold","","","","1991","Trigonotreta (Spiriferida, Brachiopoda) from the Early Permian of Victoria","Alcheringa","","15","","321","326","journal article","English",""
"32419","ref","auth,class","N. W.","Archbold","","","","1999","Wooramella description, in Additional Specimens of Early Permian brachiopods from the Callytharra Formation, Carnarvon Basin, Western Australia: new morphological data","Proceedings of the Royal Society of Victoria","","111","2","255","269","journal article","English",""
"33428","ref","class","N. W.","Archbold","","","","1986","Tivertonia yarrolensis (Maxwell) (Chonetidina, Brachiopoda) from the Permian of the Sydney Basin, Australia","Alcheringa","","10","","413","415","journal article","English",""
"34554","ref","auth,class","N. W.","Archbold","","","","1993","Systematic Palaeontology, in Aktastinian (Early Artinskian, Early Permian) brachiopods from the Jimba Jimba Calcarenite, Wooramel Group, Carnarvon Basin, Western Australia","Proceedings of the Royal Society of Victoria","","105","2","187","202","journal article","English",""
